Asset,"Reported Issues",Added
287299,"Case scratch severe","2019-11-04 14:27:13"
509182,"worn palmrest, case gouge","2019-11-04 15:19:00"
282933,"case crack","2019-11-04 15:20:03"
275445,"Broken wifi wires","2019-11-04 15:29:56"
295589,"BIOS Lock","2019-11-04 17:56:38"
514978,"Case chip","2019-11-04 20:32:56"
299737,"case scratch severe, work keyboard","2019-11-05 16:34:56"
519690,"worn keyboard, screen distorts near hinge","2019-11-05 16:39:24"
519702,"pressure mark, worn keyboard","2019-11-05 16:42:38"
512951,"Case scratch severe","2019-11-05 17:50:19"
509193,"case scratch severe","2019-11-05 17:50:35"
299464,"Top case is loose","2019-11-05 18:54:36"
297432,"broken keyboard, missing back, case scratch","2019-11-05 20:42:28"
275442,"Broken Wifi wires","2019-11-06 14:26:48"
275444,"broken wifi adapter","2019-11-06 14:56:21"
282329,"bad keyboard, pressure mark","2019-11-06 17:19:09"
292169,SCRATCH,"2019-11-06 17:54:48"
292168,scratch,"2019-11-06 22:20:41"
284742,"screen scratch","2019-11-07 14:02:44"
287290,"screen scratch","2019-11-07 14:03:18"
512951,"case scratch corner","2019-11-07 14:39:40"
86107,"no asin","2019-11-07 15:07:33"
519700,"Case scratch severe","2019-11-07 17:37:57"
522324,"Case Crack","2019-11-07 18:02:01"
522323,"Screen Scratch, bad Battery","2019-11-07 18:14:16"
522295,"Sscreen Scratch","2019-11-07 18:20:40"
512933,"pressure marks, worn keyboard","2019-11-07 18:36:15"
519695,"Bad Touchpad","2019-11-07 19:05:28"
522301,"worn keyboard, case scratch severe","2019-11-07 19:06:38"
509180,"worn keyboard","2019-11-07 20:09:30"
524928,"Kensington Lock","2019-11-07 20:18:23"
519693,"BAD INSIDE","2019-11-07 20:29:12"
524945,"bad keyboard","2019-11-07 20:30:25"
525054,SCRATCH,"2019-11-07 20:32:58"
524943,"Bad screen scratch","2019-11-07 20:34:29"
525026,"BAD KEYBOARD","2019-11-07 20:36:10"
519697,"worn keyboard","2019-11-07 20:37:36"
519607,"bad screen ","2019-11-07 21:08:01"
299480,"BAD SCREEN","2019-11-07 21:10:01"
299484,"CASE DISCOLOR","2019-11-07 22:14:21"
283678,"DENT CASE","2019-11-08 14:30:55"
295573,"CASE SCRATCH SEVERE","2019-11-08 14:35:46"
295571,"CASE SCRATCH","2019-11-08 14:36:43"
283322,"CAS BROKEN ","2019-11-08 14:47:02"
295536,"CASE DENT SEVERE","2019-11-08 14:47:20"
295521,"Case Dent severe","2019-11-08 14:48:28"
295576,"CASE BROKEN","2019-11-08 14:49:13"
295521,"Case Dent Severe","2019-11-08 14:51:04"
284806,"CASE SCRATCH MINOR","2019-11-08 14:53:13"
284672,"CASE SCRATCH","2019-11-08 14:53:52"
295547,"Back Broken ","2019-11-08 14:58:04"
287301,"SCRATCH CASE","2019-11-08 14:58:33"
283677,"CASE SCRATCH MINOR","2019-11-08 15:05:50"
295746,"NEED BATTERY","2019-11-08 15:09:31"
283150,"CASE SCRATCH MINOR","2019-11-08 15:09:58"
295574,"Case Dent Coner Severe ","2019-11-08 15:13:09"
284572,"Case Dent Coner Severe , No Battery ,Back Case Discolor ","2019-11-08 15:20:57"
295593,"CASE SCRATCH","2019-11-08 15:21:08"
295601,"CASE BROKEN","2019-11-08 15:22:54"
295563,"CASE SCRATCH MINOR","2019-11-08 15:24:11"
295535,"BROKEN CASE","2019-11-08 15:43:29"
295562,"BROKEN INSIDE","2019-11-08 15:45:08"
295553,"BROKEN INSIDE","2019-11-08 15:46:29"
162580,"Need  Battery , Case discolor ","2019-11-08 15:52:29"
198750,"SCREEN SCRATCH","2019-11-08 15:55:32"
284568,"MISSING BATTERY","2019-11-08 16:02:32"
198751,"BROKEN INSIDE","2019-11-08 16:03:51"
198749,"BROKEN INSIDE","2019-11-08 16:05:21"
296404,"CASE SCRATCH MINOR","2019-11-08 16:13:02"
295524,"BROKEN INSIDE","2019-11-08 16:13:27"
295591,"DENT CASE","2019-11-08 16:15:22"
295595,"CASE DENT","2019-11-08 16:16:55"
295522,"BROKEN INSIDE","2019-11-08 16:20:26"
295525,"BROKEN CASE","2019-11-08 16:22:12"
295515,"SCRATCH INSIDE","2019-11-08 16:23:58"
295527,"SCREEN SCRATCH SEVERE","2019-11-08 16:24:35"
295518,"case discolor ","2019-11-08 16:26:01"
283156,"missing for battery","2019-11-08 17:21:34"
