"Shipment ID",Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Added
25,545390,023183464853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:38:09"
25,545392,022500554153,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 22:02:26"
25,545395,029113564853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:37:35"
25,545397,047725364853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:38:22"
25,545399,032110754053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:38:03"
25,545401,047857464853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:38:26"
25,545403,061952561853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:38:19"
25,545405,023041462753,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:39:35"
25,545406,057689761853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:39:25"
25,545408,057601261853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:29:50"
25,545410,037482454053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:59:04"
25,545411,031274454053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:34:56"
25,545412,015646663253,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 22:12:27"
25,547129,057642461853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:39:19"
25,547131,036757754353,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 14:54:10"
25,545188,009344164357,,,"WIN8 Activated","Surface Book","i5 6300U CPU @2.4GHz","2019-12-12 21:04:42"
25,545191,010272272557,,,"WIN8 Activated","Surface Book","i5 6300U CPU @2.4GHz","2019-12-12 21:00:03"
25,545192,001506264757,,,"WIN8 Activated","Surface Book","i5 6300U CPU @2.4GHz","2019-12-12 21:02:09"
25,545193,010196463657,,,"WIN8 Activated","Surface Book","i5 6300U CPU @2.4GHz","2019-12-12 21:08:26"
25,545252,007399764357,,,"WIN8 Activated","Surface Book","i5 6300U CPU @2.4GHz","2019-12-12 21:03:03"
25,545262,012662464657,,,"WIN8 Activated","Surface Book","i5 6300U CPU @2.4GHz","2019-12-12 21:07:21"
25,545266,003627364457,,,"WIN8 Activated","Surface Book","i5 6300U CPU @2.4GHz","2019-12-12 20:58:38"
25,545267,003530364457,,,"WIN8 Activated","Surface Book","i5 6300U CPU @2.4GHz","2019-12-12 20:50:14"
25,545285,026317272557,,,"WIN8 Activated","Surface Book","i5 6300U CPU @2.4GHz","2019-12-12 20:56:46"
25,545421,001566362857,,,"WIN8 Activated","Surface Book","i5 6300U CPU @2.4GHz","2019-12-12 20:49:08"
25,545438,004271763657,,,"WIN8 Activated","Surface Book","i5 6300U CPU @2.4GHz","2019-12-12 21:00:58"
25,545451,001334363757,,,"WIN8 Activated","Surface Book","i5 6300U CPU @2.4GHz","2019-12-12 20:47:07"
25,545212,025877654153,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 21:43:25"
25,545216,030192654053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 21:42:26"
25,545222,073901161853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 21:41:24"
25,545225,022620254153,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 21:38:44"
25,545231,049996560253,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 21:33:43"
25,545244,022893462753,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 21:40:55"
25,545303,017348562753,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 21:33:06"
25,545312,032363454153,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 21:35:48"
25,545342,028756754053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 21:36:43"
25,545345,024758254153,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 21:37:42"
25,545346,032050454053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 21:42:00"
25,545356,073884561853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 21:42:53"
25,545360,034767154053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 21:31:47"
25,545382,034363254053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 21:40:28"
25,545394,020805661853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 21:39:59"
