Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Manufacturer,Added
545230,015622563253,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 15:55:15"
545234,022861261853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 15:55:53"
545234,022861261853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 16:19:09"
545234,022861261853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 16:19:25"
545343,036770554153,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 16:23:45"
545236,026361361853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 16:25:41"
545235,066399262153,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 16:32:08"
545236,026361361853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 16:36:15"
545408,057601261853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 16:39:25"
545232,031521254053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 16:46:10"
545233,073789161853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 16:46:31"
545236,026361361853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 16:46:33"
545294,061076150453,,,Activated,"Surface Pro 3","i5-4300U_1.9 GHz",Microsoft,"2019-12-11 16:50:25"
545400,022984362753,,,Activated,,,Microsoft,"2019-12-11 16:57:55"
545400,022984362753,,,Activated,,,Microsoft,"2019-12-11 16:58:05"
545400,022984362753,,,Activated,,,Microsoft,"2019-12-11 16:58:05"
545400,022984362753,,,Activated,,,Microsoft,"2019-12-11 16:58:05"
545400,022984362753,,,Activated,,,Microsoft,"2019-12-11 16:58:05"
545400,022984362753,,,Activated,,,Microsoft,"2019-12-11 16:58:05"
545400,022984362753,,,Activated,,,Microsoft,"2019-12-11 16:58:05"
545400,022984362753,,,Activated,,,Microsoft,"2019-12-11 16:58:05"
545307,037514154053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 16:58:36"
545333,031281654053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 16:58:36"
545301,047283464853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:08:49"
545301,047283464853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:09:11"
545228,072813761853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:11:53"
545216,030192654053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:18:16"
545364,048168164853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:18:27"
545203,015638563253,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:18:47"
545363,026291161853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:19:30"
545340,030002254053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:23:17"
545222,073901161853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:26:54"
545306,013221562753,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:27:01"
545363,026291161853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 17:29:40"
