ASIN,Asset,Model,"Form Factor",CPU,Price,Added
B00VKL0I96,178461,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",183.50,"2019-06-21 16:12:01"
B00VKL0I96,180675,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",183.50,"2019-06-21 17:58:24"
B07CTT3LK2,181135,"Optiplex 7020","Small Form Factor","i5 4590,4690 CPU @ 3.3GHz",210.99,"2019-06-19 19:35:25"
B07CTT3LK2,181152,"Optiplex 7020","Small Form Factor","i5 4590,4690 CPU @ 3.3GHz",210.99,"2019-06-19 19:35:52"
B01HSJ2O0Y,182390,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:15:05"
B01HSJ2O0Y,182391,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:15:30"
B01HSJ2O0Y,182392,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:20:02"
B01HSJ2O0Y,182393,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:19:30"
B01HSJ2O0Y,182394,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:20:33"
B01HSJ2O0Y,182396,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:12:45"
B01HSJ2O0Y,182397,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:15:55"
B01HSJ2O0Y,182398,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:13:54"
B01HSJ2O0Y,182399,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:17:23"
B01HSJ2O0Y,182400,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:16:20"
B01HSJ2O0Y,182401,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:17:49"
B01HSJ2O0Y,182402,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:16:52"
B01HSJ2O0Y,182403,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:11:54"
B01HSJ2O0Y,182405,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:21:43"
B01HSJ2O0Y,182407,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:18:13"
B01HSJ2O0Y,182408,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:13:21"
B01HSJ2O0Y,182409,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:12:19"
B01HSJ2O0Y,182411,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:14:39"
B01HSJ2O0Y,182412,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:18:38"
B01HSJ2O0Y,182413,"Compaq 8200 Elite","Small Form Factor","i5 2400,2500 CPU @ 3.4GHz",138.00,"2019-06-20 16:14:16"
B01GU6HLH2,177736,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-19 21:19:22"
B01GU6HLH2,177790,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-19 21:20:48"
B01GU6HLH2,181401,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-20 17:15:25"
B01GU6HLH2,181402,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-20 17:14:38"
B01GU6HLH2,181408,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-20 17:16:19"
B01GU6HLH2,182804,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:41:50"
B01GU6HLH2,182805,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:25:19"
B01GU6HLH2,182806,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:42:54"
B01GU6HLH2,182807,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:42:32"
B01GU6HLH2,182809,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:42:11"
B01GU6HLH2,182810,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:20:14"
B01GU6HLH2,182812,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:19:53"
B01GU6HLH2,182813,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:29:57"
B01GU6HLH2,182815,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:16:10"
B01GU6HLH2,182816,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:18:43"
B01GU6HLH2,182859,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:24:57"
B01GU6HLH2,182863,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:27:48"
B01GU6HLH2,182864,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:30:48"
B01GU6HLH2,182865,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 22:26:43"
B01GU6HLH2,182867,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:41:26"
B01GU6HLH2,182878,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:19:31"
B01GU6HLH2,182882,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:29:36"
B01GU6HLH2,182884,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:29:14"
B01GU6HLH2,182894,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:17:38"
B01GU6HLH2,182897,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:26:23"
B01GU6HLH2,182898,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:40:11"
B01GU6HLH2,182899,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:41:06"
B01GU6HLH2,182903,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:26:51"
B01GU6HLH2,182905,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:22:02"
B01GU6HLH2,182908,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:18:21"
B01GU6HLH2,182909,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:27:24"
B01GU6HLH2,182911,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:30:24"
B01GU6HLH2,182914,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:40:35"
B01GU6HLH2,182918,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:17:59"
B01GU6HLH2,182920,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:28:09"
B01GU6HLH2,182923,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:16:33"
B01GU6HLH2,182924,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:19:04"
B01GU6HLH2,182926,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:17:17"
B01GU6HLH2,182927,"Elite 6300","Small Form Factor","i3 3220 CPU @ 3.3GHz",134.95,"2019-06-21 21:16:56"
B077MSZ9P3,177746,"ProDesk 600 G1","Small Form Factor","i3 4130,4160 CPU @ 3.4GHz",178.39,"2019-06-20 17:29:01"
B077MSZ9P3,181405,"ProDesk 600 G1","Small Form Factor","i3 4130,4160 CPU @ 3.4GHz",178.39,"2019-06-20 17:30:24"
B077MSZ9P3,181407,"ProDesk 600 G1","Small Form Factor","i3 4130,4160 CPU @ 3.4GHz",178.39,"2019-06-20 17:29:36"
B077MSZ9P3,181964,"ProDesk 600 G1","Small Form Factor","i3 4130,4160 CPU @ 3.4GHz",178.39,"2019-06-20 17:30:59"
B077MSZ9P3,181966,"ProDesk 600 G1","Small Form Factor","i3 4130,4160 CPU @ 3.4GHz",178.39,"2019-06-20 17:28:38"
B074YJQPNX,181142,"Optiplex 3010","Small Form Factor","i3 3220 CPU @ 3.3GHz",110.00,"2019-06-19 19:28:50"
B079QB4P6S,178582,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:29:18"
B079QB4P6S,180747,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:30:01"
B079QB4P6S,180748,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:27:40"
B079QB4P6S,180750,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:29:39"
B079QB4P6S,180752,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:30:23"
B079QB4P6S,180754,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:20:41"
B079QB4P6S,180756,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:25:36"
B079QB4P6S,180758,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 21:40:28"
B079QB4P6S,180759,"Optiplex 7010","Small Form Factor","i3 3220,3240 CPU @ 3.3GHz",142.44,"2019-06-19 15:18:59"
